Song Title,Writers,Publishers,WriterShare,Lyrics,Worktape,CreationDate,Demo
As Far As You Wanta Go,"Rick Ferrell, Wade Kirby","Rainy Graham, Big Tractor",0.5,yes,yes,8/29/12,
Beautiful Girl,"Rick Ferrell, Natalie Murphy","Rainy Graham, Natalie Murphy(BMI)",0.5,yes,yes,2/3/12,
By My Side,"Rick Ferrell, Marti Lynn Dodsen","Rainy Graham, Shapiro-Bernstein Music Publishing",0.5,yes,yes,10/25/12,
Camoflage Girls,"RickFerrell, Wade Kirby","Rainy Graham, Big Tractor",0.5,yes,yes,7/13/12,
Country Boy,"Rick Ferrell, Wade Kirby, Melanie Morgan","Rainy Graham, Big Tractor, Busy Music (Socan)",0.5,yes,yes,8/30/12,
Cows Come Home,"Rick Ferrell, Marti Dodsen, Billy Dawson","Rainy Graham, Shapiro-Bernstein Music Publishing, Billy Dawson",0.3334,yes,yes,6/27/12,
Easy Now,"Rick Ferrell, Josiah Rosen, Marti Lynn Dodson","Rainy Graham,,Shapiro-Bernstein Music Publishing",0.3334,yes,yes,6/16/12,
Echo,"Rick Ferrell, Natalie Murphy","Rainy Graham, Natalie Murphy(BMI)",0.5,yes,yes,1/25/12,
Fall For Anything,"Rick Ferrell, Doug Johnson, John King",Rainy Graham,0.3334,yes,yes,7/24/12,
Fallin In Love In The Club,Rick Ferrell,Rainy Graham,1,yes,yes,5/8/12,
Galaxy,"Rick Ferrell, Marti Dodsen","Rainy Graham, Shapiro-Bernstein Music Publishing",0.5,yes,yes,10/22/12,
Get Away From Us,"Rick Ferrell, Emily Lynch, Marti Lynn Dodson",Rainy Graham,0.3334,yes,yes,1/24/12,
Girl World,"Rick Ferrell, Megan Conner, Jennifer Suffinetti",Rainy Graham,0.3334,yes,yes,5/24/12,
Glass Heart,Rick Ferrell / Erik Kertes / Megan Connor,Rainy Graham,0.3334,no,yes,4/24/12,
Go Through It,"Rick Ferrell, Marti Lynn Dodson, Pete Best","Rainy Graham, Shapiro-Bernstein Music Publishing",0.3334,yes,yes,2/21/12,
Here To Kill The Pain,"Rick Ferrell, Jason Charles Miller",Rainy Graham,0.5,yes,yes,4/30/12
Here We Go Again,"Rick Ferrell, Marti Dodsen, Jesse Rice","Rainy Graham, Shapiro-Bernstein Music Publishing",0.3334,no,yes,
Hey You,"Rick Ferrell, Megan Conner,Jennifer Zuffinetti",Rainy Graham,0.3334,yes,yes,2/22/12
Honestly,"Rick Ferrell, Marti Lynn  Dodsen","Rainy Graham, Shapiro-Bernstein Music Publishing",0.5,yes,yes,8/18/12
I Wanna Be Your Whiskey (Your Whiskey),"Rick Ferrell, Megan Conner,Jennifer Zuffinetti",Rainy Graham,0.3334,yes,yes,4/4/12
I'd Rather Have A Broken Heart,"Rick Ferrell, Natalie Murphy","Rainy Graham, Natalie Murphy(BMI)",0.5,yes,yes,2/16/12
I'll Take It All,"Rick Ferrell, Megan Conner",Rainy Graham,0.5,yes,yes,11/21/11
In The Air,"Rick Ferrell, Jaida Dreyer","Rainy Graham, Red Vinyl, Guys Girl Music",0.5,yes,yes,
It's Always You,"Rick Ferrell,Marti Dodsen",Rainy Graham,0.5,yes,no,
It's Summertime,"Rick Ferrell, Wade Kirby","Rainy Graham, Big Tractor",0.5,yes,yes,
It's You,"Rick Ferrell, Marti Dodsen","Rainy Graham, Shapiro-Bernstein Music Publishing",0.5,yes,yes,9/13/12
Livin The Dream,"Rick Ferrell, Taylor Watson","Rainy Graham, BMI (No pub)",0.5,yes,yes,5/7/12
Long Way Gone,"Rick  Ferrell, Marti Dodsen","Rainy Graham, Shapiro-Bernstein Music Publishing",0.5,yes,yes,10/22/12
Love Is Like Wine,"Rick Ferrell, Freddy Litwiniuk","Rainy Graham, SOCAN (ASCAP) DAN HODGES MUSIC",0.5,no,no,11/22/11
Love Junky,"Rick Ferrell, Lee Anna James, Leah Turner",Rainy Graham,0.3334,yes,yes,7/6/11
Love Like Clay,"Rick Ferrell, Megan Conners, Jennifer Zuffinetti",Rainy Graham,0.3334,yes,yes,1/15/12
