title,creationDate,hasLyrics,hasWorktape,songwriters,publishers
As Far As You Wanta Go,8/29/12,yes,yes,"Rick Ferrell, Wade Kirby","Rainy Graham, Big Tractor"
Beautiful Girl,2/3/12,yes,yes,"Rick Ferrell, Natalie Murphy","Rainy Graham, Natalie Murphy Publishing"
By My Side,10/25/12,yes,yes,"Rick Ferrell, Marti Lynn Dodsen","Rainy Graham, Shapiro-Bernstein Music Publishing"
Camoflage Girls,7/13/12,yes,yes,"Rick Ferrell, Wade Kirby","Rainy Graham, Big Tractor"
Country Boy,8/30/12,yes,yes,"Rick Ferrell, Wade Kirby, Melanie Morgan","Rainy Graham, Big Tractor, Busy Music"
Cows Come Home,6/27/12,yes,yes,"Rick Ferrell, Marti Lynn Dodsen, Billy Dawson","Rainy Graham, Shapiro-Bernstein Music Publishing, Billy Dawson Music"
Easy Now,6/16/12,yes,yes,"Rick Ferrell, Josiah Rosen, Marti Lynn Dodsen","Rainy Graham, Made Up Music, Shapiro-Bernstein Music Publishing"
Echo,1/25/12,yes,yes,"Rick Ferrell, Natalie Murphy","Rainy Graham, Natalie Murphy Publishing"
Fall For Anything,7/24/12,yes,yes,"Rick Ferrell, Doug Johnson, John King",Rainy Graham
Fallin In Love In The Club,5/8/12,yes,yes,Rick Ferrell,Rainy Graham
Galaxy,10/22/12,yes,yes,"Rick Ferrell, Marti Lynn Dodsen","Rainy Graham, Shapiro-Bernstein Music Publishing"
Get Away From Us,1/24/12,yes,yes,"Rick Ferrell, Emily Lynch, Marti Lynn Dodsen",Rainy Graham
Girl World,5/24/12,yes,yes,"Rick Ferrell, Megan Conner, Jennifer Zuffinetti",Rainy Graham
Glass Heart,4/24/12,no,yes,"Rick Ferrell, Erik Kertes, Megan Connor",Rainy Graham
Go Through It,2/21/12,yes,yes,"Rick Ferrell, Marti Lynn Dodsen, Pete Best","Rainy Graham, Shapiro-Bernstein Music Publishing"
Here To Kill The Pain,4/30/12,yes,yes,"Rick Ferrell, Jason Charles Miller",Rainy Graham
Here We Go Again,5/1/12,no,yes,"Rick Ferrell, Marti Lynn Dodsen, Jesse Rice","Rainy Graham, Shapiro-Bernstein Music Publishing"
